Boardgame Players Association,,,,,,,,,,,,
2026 WBC Schedule,,,,,,,,,,,,
,,,,,,,,,,,,
Chronological Web Schedule,,,,,,,,,,,,
,,,,,,,,,,,,
Date,Day Code,Time,Event Code,Event,Round/Heat,Class,Format,Style,Duration,Location,GM,Change Date
First Friday,,,,,,,,,,,,
7/26/26,FSu,9,8XX,18xx,Heat 3/4,B,HMW-T,Scheduled,6,Alpine,"McCorry, Tom",
7/26/26,FSu,9,ACV,Advanced Civilization,Heat 2/2,B,HMW-P,Scheduled,8,First Tracks Slopeside,"Spencer, Jay",
7/26/26,FSu,9,AFK,Afrika Korps,Round 2/7,A,SwEl,Freeform,7,Winterberry,"Sinigaglio, Bruno",
7/26/26,FSu,9,BWD,Bitter Woods,Round 2/7,A,SwEl,Freeform,7,Winterberry,"Sinigaglio, Bruno",
7/26/26,FSu,9,CAR,Carcassonne,Round 1/6,B,SE,Continuous,1,Seasons,"Hammond, Kevin",
7/26/26,FSu,9,GWT,Great Western Trail,Heat 2/3,A,HMW-P,Scheduled,3,Wintergreen,"Versak, Dalton",
7/26/26,FSu,9,HRC,Hannibal: Rome vs Carthage,Round 3/5,A,SW,Continuous,5,Maple,"Tucker, Stuart",
7/26/26,FSu,9,PZB,Panzerblitz,Round 2/7,B,SwEl,Freeform,6,Winterberry,"Northey, Rick",
7/26/26,FSu,9,POG,Paths of Glory,Round 1/2,C,SEM,Scheduled,6,Winterberry,"Gregorio, Alex",
7/26/26,FSu,9,RRR,Russian Railroads,Heat 2/3,A,HMW-T,Scheduled,2,Wintergreen,"Collins II, Curt",
7/26/26,FSu,9,SMW,Small World,Heat 3/3,B,HMW-P,Scheduled,2,Grand Ballroom,"O'Flynn, Tim",
7/26/26,FSu,9,SQL,Squad Leader,Round 2/7,A,SwEl,Freeform,4,Winterberry,Pollard. Pete,
7/26/26,FSu,9,TRC,The Russian Campaign,Round 2/7,A,SwEl,Freeform,5,Winterberry,"Karahalios, George",
7/26/26,FSu,9,VIP,Victory in the Pacific,Round 1/5,B,SwEl,Continuous,5,Snowflake,"Drozd, Ted",
7/26/26,FSu,9,WSM,Wooden Ships & Iron Men,Round 2/8,B,SwEl,Freeform,2,Winterberry,"Hitchings, Tim",
7/26/26,FSu,10,--,Catholic Mass,--,--,--,--,1,Sunburst,Seven Springs,
7/26/26,FSu,10,ADV,Adel Verpflichtet,Demo 1/1,--,--,--,1,Exhibit Hall Annex #5,"Bender, Angela",
7/26/26,FSu,10,EIS,Enemy in Sight,Demo 1/1,--,--,---,1,Exhibit Hall Annex #8,"Evinger, Matt",
7/26/26,FSu,10,AGR,Agricola,Heat 3/3,A,HMW-P,Scheduled,3,Seasons,"Sperling, Lumin",
7/26/26,FSu,10,CAR,Carcassonne,Round 2/6,B,SE,Continuous,1,Seasons,"Hammond, Kevin",
7/26/26,FSu,10,C&K,Catan: Cities & Knights,Heat 1/2,B,HMW-P,Scheduled,3,Seasons,"Gnech, Chris",
7/26/26,FSu,10,GAP,Gaia Project,Heat 1/3,B,HMW-P,Scheduled,3,Grand Ballroom,"Cederquist, Dave",
7/26/26,FSu,10,MMS,March Madness,Heat 1/4,B,HMSE,Scheduled,3,Evergreen,"Reiff, Bruce",
7/26/26,FSu,10,SRM,Star Wars: Outer Rim,Heat 2/3,B,HMW-T,Scheduled,3,Alpine,"Sample, Martin",
7/26/26,Fsu,10,TT2,Titan 2-Player,Round 1/2,B,HMSE,Scheduled,5,First Tracks Poolside,"desJardins, David",
7/26/26,FSu,11,AZL,Azul,Demo 1/1,--,--,---,1,Exhibit Hall Annex #1,"Speaker, Eric",
7/26/26,FSu,11,BXC,Boxcars,Demo 1/1,--,--,---,1,Exhibit Hall Annex #6,"Bromley, Trella",
7/26/26,FSu,11,FFM,Freeman's Farm,Demo 1/1,--,--,---,1,Foggy Brews,"Lange, Jeff",
7/26/26,FSu,11,AOA,Ace of Aces,Heat 2/4,C,SwEl,Freeform,1,Chestnut,"Chesnut, Matt",
7/26/26,FSu,11,ADV,Adel Verpflichtet,Heat 1/3,B,HMW-P,Scheduled,2,Wintergreen,"Bender, Angela",
7/26/26,FSu,11,BSN,Beyond the Sun,Heat 2/3,B,HMW-P,Scheduled,2,Fox Den,"Wu, Jeff",
7/26/26,FSu,11,CAR,Carcassonne,Round 3/6,B,SE,Continuous,1,Seasons,"Hammond, Kevin",
7/26/26,FSu,11,VGQ,Virgin Queen,Heat 1/2,B,HMW-P,Scheduled,6,Wagner's Run,"Beach, Ed",
7/26/26,FSu,12,DOM,Dominion,Demo 1/1,--,--,---,1,Exhibit Hall Annex #2,"Bielefeldt, Russ",
7/26/26,FSu,12,ELG,El Grande,Demo 1/1,--,--,---,1,Exhibit Hall Annex #5,"Flowers, Rob",
7/26/26,FSu,12,AZL,Azul,Heat 1/3,B,HMW-P,Scheduled,1,Grand Ballroom,"Speaker, Eric",
7/26/26,FSu,12,CAR,Carcassonne,Round 4/6,B,SE,Continuous,1,Seasons,"Hammond, Kevin",
7/26/26,FSu,13,BXC,Boxcars,Heat 1/3,B,HMW-P,Scheduled,4,Fox Den,"Bromley, Trella",
7/26/26,FSu,13,CAR,Carcassonne,Round 5/6,B,SE,Continuous,1,Seasons,"Hammond, Kevin",
7/26/26,FSu,13,C&K,Catan: Cities & Knights,Heat 2/2,B,HMW-P,Scheduled,3,Seasons,"Gnech, Chris",
7/26/26,FSu,13,ELG,El Grande,Heat 1/3,B,HMW-P,Scheduled,2,Grand Ballroom,"Flowers, Rob",
7/26/26,FSu,13,EVD,Everdell,Heat 1/2,B,HMW-P,Scheduled,2,Fox Den,"Martin, Andrew",
7/26/26,FSu,13,5TR,Five Tribes,Heat 3/3,B,HMW-P,Scheduled,2,Sunburst,"Wildes, Chris",
7/26/26,FSu,13,SMW,Small World,Semifinal,B,HMW-P,Scheduled,2,Grand Ballroom,"O'Flynn, Tim",
7/26/26,FSu,14,AUC,Auction,Demo 1/1,--,--,---,1,Exhibit Hall Annex #1,"Kyrkos, Vassili",
7/26/26,FSu,14,COB,Castles of Burgundy,Demo 1/1,--,--,---,1,Exhibit Hall Annex #4,"Irving, Richard",
7/26/26,FSu,14,SWS,Swords & Sails,Demo 1/1,--,--,---,1,Exhibit Hall,"Williams, Jason",
7/26/26,FSu,14,CAR,Carcassonne,Round 6/6,B,SE,Continuous,1,Seasons,"Hammond, Kevin",
7/26/26,FSu,14,HRC,Hannibal: Rome vs Carthage,Round 4/5,A,SW,Continuous,5,Maple,"Tucker, Stuart",
7/26/26,FSu,14,VIP,Victory in the Pacific,Round 2/5,B,SwEl,Continuous,5,Snowflake,"Drozd, Ted",
7/26/26,FSu,14,WAT,Waterloo,Round 1/5,A,SwEl,Freeform,6,Winterberry,"Musella, Martin",
7/26/26,FSu,14,7WS,7 Wonders,Quarterfinal,B,HMW-P,Scheduled,2,Grand Ballroom,"Shea, Elizabeth",
7/26/26,FSu,15,V19,Versailles 1919,Demo 1/1,--,--,---,1,Exhibit Hall Annex #2,"Pettis, Roy",
7/26/26,FSu,15,AKN,Ark Nova,Heat 1/2,A,HWO,Scheduled,3,Seasons,"Weaver, Chad",
7/26/26,FSu,15,AUC,Auction,Heat 2/4,B,HWO,Scheduled,1,Chestnut,"Kyrkos, Vassili",
7/26/26,FSu,15,BSN,Beyond the Sun,Heat 3/3,B,HMW-P,Scheduled,2,Wintergreen,"Wu, Jeff",
7/26/26,FSu,15,FDE,Formula De,Heat 1/4,C,HMW-P,Scheduled,3,Alpine,"Meader, Eric",
7/26/26,FSu,15,FFM,Freeman's Farm,Heat 1/4,B,HMW-P,Scheduled,3,Foggy Brews,"Lange, Jeff",
7/26/26,FSu,15,NVG,Navegador,Heat 1/3,B,HMW-P,Scheduled,2,Sunburst,"Martin, Chad",
7/26/26,FSu,15,CAR,Carcassonne,Semifinal,B,SE,Continuous,1,Seasons,"Hammond, Kevin",
7/26/26,FSu,15,SMW,Small World,Final,B,HMW-P,Scheduled,2,Grand Ballroom,"O'Flynn, Tim",
7/26/26,FSu,16,,Juniors Meet and Greet,--,--,--,--,2,Hemlock,"Byrd, Megan",
7/26/26,FSu,16,FBS,Football Strategy,Demo 1/1,--,--,---,1,Exhibit Hall Annex #1,"Schoose, Bert",
7/26/26,FSu,16,SPD,Splendor,Demo 1/1,--,--,---,1,Exhibit Hall Annex #5,"Murray, Rob",
7/26/26,FSu,16,CAR,Carcassonne,Final,B,SE,Continuous,1,Seasons,"Hammond, Kevin",
7/26/26,FSu,16,COB,Castles of Burgundy,Round 1/3,B,HMW-P,Scheduled,3,Sunburst,"Irving, Richard",
7/26/26,FSu,16,POG,Paths of Glory,Round 2/2,C,SEM,Scheduled,6,Winterberry,"Gregorio, Alex",
7/26/26,FSu,16,7WS,7 Wonders,Semifinal,B,HMW-P,Scheduled,2,Grand Ballroom,"Shea, Elizabeth",
7/26/26,FSu,17,--,Shuttle from Pittsburgh Airport,--,--,--,--,2,Airport,Seven Springs,
7/26/26,FSu,17,ABN,Air Baron,Demo 1/1,--,--,---,1,Exhibit Hall Annex #1,"Jamelli, Max",
7/26/26,FSu,17,EPB,Empire Builder,Demo 1/1,--,--,---,1,Exhibit Hall Annex #2,"Bromley, Trella",
7/26/26,FSu,17,GXT,Galaxy Trucker,Demo 1/1,--,--,---,1,Exhibit Hall Annex #4,"Finberg, David",
7/26/26,FSu,17,IVH,Ivanhoe,Demo 1/1,--,--,---,1,Exhibit Hall Annex #8,"Roeper, Barb",
7/26/26,FSu,17,SWR,Star Wars: Rebellion,Demo 1/1,--,--,---,1,Exhibit Hall Annex #7,"Gregorio, Alex",
7/26/26,FSu,17,STA,Stone Age,Demo 1/1,--,--,---,1,Exhibit Hall Annex #6,"Stufflet, Dave",
7/26/26,FSu,17,8XX,18xx,Heat 4/4,B,HMW-T,Scheduled,6,Alpine,"McCorry, Tom",
7/26/26,FSu,17,FBS,Football Strategy,Heat 1/2,B,HMSE,Scheduled,7,Evergreen,"Schoose, Bert",
7/26/26,FSu,17,SPD,Splendor,Heat 1/3,B,HMW-P,Scheduled,1,Grand Ballroom,"Murray, Rob",
7/26/26,FSu,17,WOR,War of the Ring,Mulligan,C,SEM,Continuous,4,Fox Den,"Martin, Jeromey",
7/26/26,FSu,18,DOM,Dominion,Heat 2/3,B,HWO,Scheduled,1,Seasons,"Bielefeldt, Russ",
7/26/26,FSu,18,EPB,Empire Builder,Heat 1/3,B,HMW-P,Scheduled,4,Wintergreen,"Bromley, Trella",
7/26/26,FSu,18,IVH,Ivanhoe,Heat 1/3,B,HMW-P,Scheduled,2,Timberstone,"Roeper, Barb",
7/26/26,FSu,18,RA!,Ra!,Heat 1/4,B,HMW-P,Scheduled,2,Grand Ballroom,"Bove, Alex",
7/26/26,FSu,18,SP2,Splendor Duel,Heat 2/2,B,HWO,Scheduled,2,Seasons,"Chauvin, Carl",
7/26/26,FSu,18,STA,Stone Age,Heat 1/3,B,HWO,Scheduled,2,Seasons,"Stufflet, Dave",
7/26/26,FSu,18,VGQ,Virgin Queen,Heat 2/2,B,HMW-P,Scheduled,6,Wagner's Run,"Beach, Ed",
7/26/26,FSu,19,BAR,Battles of the American Revolution,Demo 1/1,--,--,---,1,Foggy Brews,"Miklos, Mark",
7/26/26,Fsu,19,ABN,Air Baron,Heat 1/4,B,HMW-P,Scheduled,3,Dogwood,"Jamelli, Max",
7/26/26,FSu,19,GXT,Galaxy Trucker,Heat 1/3,B,HMW-P,Scheduled,2,First Tracks Poolside,"Finberg, David",
7/26/26,FSu,19,HRC,Hannibal: Rome vs Carthage,Round 5/5,A,SW,Continuous,5,Maple,"Tucker, Stuart",
7/26/26,FSu,19,SAG,Sagrada,Heat 1/3,B,HMW-P,Scheduled,1,Seasons,"Schreier, Daron",
7/26/26,FSu,19,SWR,Star Wars: Rebellion,Mulligan,C,SEM,Scheduled,4,Fox Den,"Gregorio, Alex",
7/26/26,FSu,19,VIP,Victory in the Pacific,Round 3/5,B,SwEl,Continuous,5,Snowflake,"Drozd, Ted",
7/26/26,FSu,20,AMR,Amun Re,Heat 2/3,B,HMW-P,Scheduled,2,Timberstone,"Freeman, Eric",
7/26/26,FSu,20,MED,Medici,Heat 2/3,C,HWO,Scheduled,2,Seasons,"Cornett, Jeff",
7/26/26,FSu,20,PGD,Power Grid,Heat 1/3,A,HMW-P,Scheduled,3,Grand Ballroom,"Munson, Mike",
7/26/26,FSu,20,QGB,Star Wars: Queen's Gambit,Heat 1/3,B,HWO,Scheduled,2,First Tracks Center,"Kizer, Chris",
7/26/26,FSu,20,AGE,Through the Ages,Heat 1/2,A,HMW-P,Scheduled,4,Sunburst,"Buehler, Randy",
7/26/26,FSu,20,AGR,Agricola,Semifinal,A,HMW-P,Scheduled,3,Sunburst,"Sperling, Lumin",
7/26/26,FSu,20,CTN,Catan,Semifinal,B,HMW-P,Scheduled,2,Laurel,"Gitzen II, John",
