Date,Day Code,Time,Event Code,Event,Round/Heat,Class,Format,Style,Duration,Location,GM,Change Date,BGG_ID,BGG_Name,BGG_Rank,BGG_Rating
First Friday,,,,,,,,,,,,,,,,
7/26/26,FSu,9,PGD,Power Grid,Demo 1/1,--,--,---,1,Exhibit Hall Annex #4,"Munson, Mike",,2651.0,Power Grid,73.0,7.79924
7/26/26,FSu,9,VGQ,Virgin Queen,Demo 1/1,--,--,---,1,Exhibit Hall Annex #9,"Beach, Ed",,41066.0,Virgin Queen,1172.0,7.97122
7/26/26,FSu,9,8XX,18xx,Heat 3/4,B,HMW-T,Scheduled,6,Alpine,"McCorry, Tom",,,,,
7/26/26,FSu,9,ACV,Advanced Civilization,Heat 2/2,B,HMW-P,Scheduled,8,First Tracks Slopeside,"Spencer, Jay",,177.0,Advanced Civilization,0.0,8.00964
7/26/26,FSu,9,AFK,Afrika Korps,Round 2/7,A,SwEl,Freeform,7,Winterberry,"Sinigaglio, Bruno",,2259.0,Afrika Korps,6191.0,6.30701
7/26/26,FSu,9,BWD,Bitter Woods,Round 2/7,A,SwEl,Freeform,7,Winterberry,"Sinigaglio, Bruno",,,,,
7/26/26,FSu,9,CAR,Carcassonne,Round 1/6,B,SE,Continuous,1,Seasons,"Hammond, Kevin",,822.0,Carcassonne,238.0,7.41641
7/26/26,FSu,9,GWT,Great Western Trail,Heat 2/3,A,HMW-P,Scheduled,3,Wintergreen,"Versak, Dalton",,193738.0,Great Western Trail,21.0,8.14773
7/26/26,FSu,9,HRC,Hannibal: Rome vs Carthage,Round 3/5,A,SW,Continuous,5,Maple,"Tucker, Stuart",,234.0,Hannibal: Rome vs. Carthage,491.0,7.77495
7/26/26,FSu,9,PZB,Panzerblitz,Round 2/7,B,SwEl,Freeform,6,Winterberry,"Northey, Rick",,2238.0,PanzerBlitz,3557.0,6.64271
7/26/26,FSu,9,POG,Paths of Glory,Round 1/2,C,SEM,Scheduled,6,Winterberry,"Gregorio, Alex",,91.0,Paths of Glory,263.0,8.07029
7/26/26,FSu,9,RRR,Russian Railroads,Heat 2/3,A,HMW-T,Scheduled,2,Wintergreen,"Collins II, Curt",,144733.0,Russian Railroads,152.0,7.72178
7/26/26,FSu,9,SMW,Small World,Heat 3/3,B,HMW-P,Scheduled,2,Grand Ballroom,"O'Flynn, Tim",,40692.0,Small World,404.0,7.19133
7/26/26,FSu,9,SQL,Squad Leader,Round 2/7,A,SwEl,Freeform,4,Winterberry,Pollard. Pete,,1035.0,Squad Leader,1022.0,7.56148
7/26/26,FSu,9,TRC,The Russian Campaign,Round 2/7,A,SwEl,Freeform,5,Winterberry,"Karahalios, George",,2808.0,The Russian Campaign,2237.0,7.33394
7/26/26,FSu,9,VIP,Victory in the Pacific,Round 1/5,B,SwEl,Continuous,5,Snowflake,"Drozd, Ted",,1442.0,Victory in the Pacific,2658.0,7.23988
7/26/26,FSu,9,WSM,Wooden Ships & Iron Men,Round 2/8,B,SwEl,Freeform,2,Winterberry,"Hitchings, Tim",,237.0,Wooden Ships & Iron Men,2158.0,7.104
7/26/26,FSu,10,--,Catholic Mass,--,--,--,--,1,Sunburst,Seven Springs,,,,,
7/26/26,FSu,10,ADV,Adel Verpflichtet,Demo 1/1,--,--,--,1,Exhibit Hall Annex #5,"Bender, Angela",,,,,
7/26/26,FSu,10,EIS,Enemy in Sight,Demo 1/1,--,--,---,1,Exhibit Hall Annex #8,"Evinger, Matt",,264.0,Enemy in Sight,6836.0,6.27375
7/26/26,FSu,10,AGR,Agricola,Heat 3/3,A,HMW-P,Scheduled,3,Seasons,"Sperling, Lumin",,31260.0,Agricola,64.0,7.85744
7/26/26,FSu,10,CAR,Carcassonne,Round 2/6,B,SE,Continuous,1,Seasons,"Hammond, Kevin",,822.0,Carcassonne,238.0,7.41641
7/26/26,FSu,10,C&K,Catan: Cities & Knights,Heat 1/2,B,HMW-P,Scheduled,3,Seasons,"Gnech, Chris",,926.0,Catan: Cities & Knights,0.0,7.45191
7/26/26,FSu,10,GAP,Gaia Project,Heat 1/3,B,HMW-P,Scheduled,3,Grand Ballroom,"Cederquist, Dave",,220308.0,Gaia Project,13.0,8.35136
7/26/26,FSu,10,MMS,March Madness,Heat 1/4,B,HMSE,Scheduled,3,Evergreen,"Reiff, Bruce",,3063.0,March Madness,14179.0,6.34748
7/26/26,FSu,10,SRM,Star Wars: Outer Rim,Heat 2/3,B,HMW-T,Scheduled,3,Alpine,"Sample, Martin",,271896.0,Star Wars: Outer Rim,193.0,7.74925
7/26/26,Fsu,10,TT2,Titan 2-Player,Round 1/2,B,HMSE,Scheduled,5,First Tracks Poolside,"desJardins, David",,,,,
7/26/26,FSu,11,AZL,Azul,Demo 1/1,--,--,---,1,Exhibit Hall Annex #1,"Speaker, Eric",,230802.0,Azul,99.0,7.71442
7/26/26,FSu,11,BXC,Boxcars,Demo 1/1,--,--,---,1,Exhibit Hall Annex #6,"Bromley, Trella",,24225.0,Boxcars,10737.0,6.46012
7/26/26,FSu,11,FFM,Freeman's Farm,Demo 1/1,--,--,---,1,Foggy Brews,"Lange, Jeff",,271837.0,Freeman's Farm 1777,8396.0,7.37809
7/26/26,FSu,11,AOA,Ace of Aces,Heat 2/4,C,SwEl,Freeform,1,Chestnut,"Chesnut, Matt",,429861.0,Ace of Spades,3620.0,7.49689
7/26/26,FSu,11,ADV,Adel Verpflichtet,Heat 1/3,B,HMW-P,Scheduled,2,Wintergreen,"Bender, Angela",,,,,
7/26/26,FSu,11,BSN,Beyond the Sun,Heat 2/3,B,HMW-P,Scheduled,2,Fox Den,"Wu, Jeff",,317985.0,Beyond the Sun,112.0,7.86249
7/26/26,FSu,11,CAR,Carcassonne,Round 3/6,B,SE,Continuous,1,Seasons,"Hammond, Kevin",,822.0,Carcassonne,238.0,7.41641
